S.No.,Articles,Result
259,"Foggy weather could delay trains: Rly MinistryThe Railway Ministry on Friday warned passengers that several trains running on north Indian routes could be delayed in the coming weeks due to foggy weather conditions.A number of trains including Nauchandi Express, Shramjeevi Express, Ala Hazrat Express and Doon Express have been getting delayed due to fog in the northern region resulting in poor visibility, it was stated in an official release.Passengers were requested to check up the train arrival departure timings through the internet, voicemail of telephone service of he railways. More trains, both passenger as well as freight, are expected to be delayed due to onset of winter and thickening fog in the coming days.",1
260,"Follow transfer policy on sensitive posts: Ministry of RailwaysThe Ministry of Railways has issued directions to various departments to prepare a report on the implementation of the comprehensive transfer policy and ensure that incumbency on sensitive posts must not be allowed beyond the stipulated time of three years.   The ministry has asked for a report for implementation of transfer policy for rotation of officials working in sensitive regions to enable vigilance directorate to put the information for the perusal of higher officials.“It is reiterated that all concerned may examine the feasibility of transferring the officials working on sensitive posts at the earliest and ensure that no incumbent dealing with sensitive work continues on any sensitive post beyond the stipulated period as advised to zonal railways from time to time,” said the directive issued by railways.This comes after the Central Vigilance Commission (CVC) issued a directive in August this year reiterating that all government departments should ensure rotational policy on sensitive posts. It further said that analysis of frauds in public sector banks and other organisations show that one of the reasons for such frauds was non-implementation of the rotation policy.             The CVC had asked that all departments strictly follow rotational transfer policy and heads of all departments should ensure implementation of the policy.In 2015, Member of Parliament N F Patole had complained to the railway’s ministry about some officials occupying sensitive posts for over 15-20 years and creating hurdles in the transparent functioning of various departments. Patole also said that about 150 officials were posted at various levels in the Railway Board for over 15-20 years.",1
261,"From white jalebis to INS Vikrant, Naik’s memoir has it allIn a political career spanning over five decades, governor Ram Naik faced several interesting incidents that form a part of his memoir ‘Charaivati-Charaivati’ (Marching ahead, marching ahead) written in Marathi and now translated into Hindi, English, Urdu and Gujarati, which will be released by President Pranab Mukherjee at the Rashtrapati Bhawan in New Delhi on November 9.In Lucknow, his memoir would be released on November 11 in the presence of Union home minister Rajnath Singh and chief minister Akhilesh Yadav.In his labour of love, Naik has included interesting things he had to deal with right from rechristening Bombay to ‘Mumbai,’ use of edible colours in sweetmeats, preservation of INS Vikrant and even finding the Constitution of India written in Hindi on gold leaves!“As an MP, I was required to handle a plethora of diverse matters. One of them was prohibiting sweetmeat makers from using edible colours in their products. Union health minister AR Antulay was among my acquaintances. The makers argued that it would be more reasonable to order them to use only permitted food colours of specified quality. However, if the ban was implemented in toto, there would only be white sweets. Imagine eating white jalebis and pedhas,” said Naik.From sweetmeats to INS Vikrant, Naik quickly changes track and recalls how the INS Vikrant was declared a national monument but it had to be disposed off as a scrap due to the failure of Maharashtra and Central government in preserving the warship that helped India win the 1971 war against Pakistan.Recalling another interesting anecdote, the governor said how his initiative led to Bombay being rechristened as ‘Mumbai.’ And a simple query about the Hindi manuscript of the Constitution of India in the Parliament Library literally led him to the ‘golden book.’“While I was reading in the Parliament Library, I came across the original English edition of the Constitution. Curious, I asked to see the original Hindi edition of the Constitution. Quite an amusing tale unfolded from this simple query. The original Hindi edition was written down by Vasant Vaidya, a Maharashtra calligraphist. Gold plated pages were imported from Germany and a special kind of ink, used for writing this edition, was brought from a reputed firm in China. The writing instrument was a special pen, crafted by the famous Watkins Company, made in Washington State, USA. It had taken Vaidya a full year to complete the writing of the Constitution on the gold plated pages. The Hindi edition is decorated with sketches of Lord Shri Ram, Shri Krishna, Gautam Buddha, Rani of Jhansi and several personalities from our cultural and historic past.”Changing tracks once again, Naik while referring to his tenure as chairman of the Public Accounts Committee (PAC) says, “One of the major assignments of the PAC is to investigate in case of any dubious transaction made by various government agencies after they are recorded by the Comptroller and Auditor General of India (CAG). I created a record by submitting eight reports of PAC in one year. The most sensational of these reports was about the misuse of official aircraft belonging to railway ministry by the then railway minister CK Jaffer Sharief. The charges against the minister were proven that put the government in a bind.”",1
262,"Going for knee replacement, veteran poet allotted upper berth in trainUrdu poet Munawwar Rana, 66, who was travelling from Lucknow to New Delhi for his knee replacement, took a dig at Prime Minister Narendra Modi’s suggestion to use the word ‘divyang’ for people with disability after he was allotted upper berth in the train.“Only calling disabled people ‘divyang’ won’t help. One has to be sensitive towards them,” Rana tweeted after he was allotted an upper berth in Suhaildev Express on Sunday night.He posted a series of tweets to express his anguish.“Hum AIIMS me admit hone ke liye jaa rahe hain, 3 passengers me se 2 senior citizens hain, uske bawjood hume upper berth allot ki gayi...Kya senior citizens ko yahi facility milni chahiye?’ Rana tweeted tagging the railway ministry and railway minister Piyush Goel.In his second tweet, he also posted his PNR number and berth details.Rana said thankfully a co-passenger offered his own berth to make their journey comfortable.He was travelling with two other passengers – Munawwar Jafri, 68, and Adil Rasheed, 52 – on PNR number 2726069792 and boarded the train from Lucknow in AC-II.“Railways has to be more sensitive towards senior citizens. All three of us were given upper berth making a sheer mockery of our age,” said Rana.“We were clueless as to how to climb up the berth as our knees are not much supportive,” he said, adding it was insensitive on the part of railways which compelled them to plead for berths from co-passengers.“It’s not our age and stature to beg for berth. What do titles like ‘Saraswati Putra’ mean for us when railways don’t even have the courtesy to respect our age,” he said.Read moreSummer heat can be dangerous for the elderly. 6 tips to protect them65-year-old in Mumbai cheated of Rs17.67 lakh in insurance fraudChief public relations officer, Northern Railways (NR), Nitin Chowdhary said: “Berth allocation system is programmed in a manner to give priority to senior citizens and female passengers in allocation of lower berths. However, once the lower berths get reserved, there is no choice but to allocate upper berths.”“As per the allocation system in AC-II, there is a provision to allocate only three lower berths on first come, first serve basis. It can be a woman above 45 years, a pregnant woman or any senior citizen,” he said.First Published: Apr 24, 2018 12:50 IST",1
263,"Govt mulls pvt role in rly, scrapping of fare subsidyScrapping the railway board, merging the rail budget with the main budget and withdrawing the passenger fare subsidy are among the radical reform proposals the government is considering, official sources said.Railways minister DV Sadananda Gowda is also contemplating a role for private stakeholders in policy-making and lateral entry for IAS officers into the top rail hierarchy to “de-centralise and corporatize” the functioning of the public transporter, which carries roughly 23 million passengers daily.“The railways served the nation well in the initial decades after Independence, but its administrative and institutional structure and functioning seems archaic and unscientific in the present context and needs overhaul. These tasks are huge and difficult and will need to be attempted progressively,” Rail Restructuring Committee chairman Bibek Debroy told HT.The committee was set up recently by the Indian Railways to take forward Gowda’s budget announcements on restructuring the rail ministry and railway board.All these reform proposals have been mentioned in the reports of several expert committees.A top government priority is to replace the “outdated and flexible” accounting practices with a professional “corporate accounting” system that can provide scientific data on the profits and losses of rail operations, the sources said.“The railways must eventually work towards… charging passenger fares commensurate with expenses incurred in providing for the cost of travel. But the progressive hike in fares will also have to be matched with better passenger amenities,” Debroy said.Currently, passenger fares are hugely subsidized, resulting in an annual loss of Rs. 25,000 crore in this segment. A proposal to merge the railways’ nine different cadre and provide for a single, unified cadre — to be called the Indian Railway Service — is also part of the surgical operation plan.",1
264,"Green patches, seats at regular intervals increase walkability quotientWhile on the one hand, Delhi has some of the most beautiful and pedestrian-friendly roads such as Sardar Patel Marg or Kasturba Gandhi Marg, it also has stretches such as the one between ISBT Kashmere Gate and Majnu Ka Tilla, where pedestrians are forced to walk on the main roads and risk their lives due to the lack of walkable footpath.Experts say greenery should be maintained round the year to make footpaths walkable. (Amal KS/HT Photo )Mention the word ‘walkability’ and it immediately conjures up an image of a foreign city such as Paris and London — with people walking on wide footpaths adorned with lush green trees and hedges, seats at regular intervals and colourful shops and eateries along the way. But a careful glance at our city will tell you that Delhi doesn’t have to look beyond its territory to understand what the term entails.While on the one hand, Delhi has some of the most beautiful and pedestrian-friendly roads such as Sardar Patel Marg or Kasturba Gandhi Marg with their canopy of trees, broad sideways with well-laid green patches, on the other hand, it also has stretches such as the one between ISBT Kashmere Gate and Majnu Ka Tilla, where pedestrians are forced to walk on the main roads and risk their lives due to the lack of walkable footpath.Elaborating on the issue, architect and urban planner, AGK Menon, said, “A walkable road needs proper planning and integration of greenery, aesthetics, safety and public utility right from the planning stages. But unfortunately, most roads in the city sans the ones in Lutyens’ Delhi lack this. Sometimes, you see a bus stop right in the middle of the footpath, sometimes, there are no trees to provide pedestrians with shade, and at times, the footpaths are dug up.”But then, one might ask, what does greenery have to do with walkability.The connectionA study conducted by the Delhi Traffic Police in 2016 revealed that road accidents in the New Delhi area — which has massive green coverage and continuous walking facilities for pedestrians — was at least 40 per cent lower than the rest of the city. It also showed that pedestrian deaths in accidents in this area were almost 85 per cent lower.The connection between green coverage and road accidents was first established by the government of Mexico City in 2015, which assessed some of the busiest and the most accident-prone stretches, for over a decade and increased the green coverage there. After the project was completed, it was seen that not only were accidents on the stretch controlled but also that incidents of road rage among drivers had gone down.In a statement released to the local media, the Mexico City government had said the green cover “had acted as a stress buster for drivers” who were otherwise more aggressive on roads. This, they said, became a boon for pedestrians, who had also found the newly developed area more accessible.“Greenery along sideways and footpaths not just provides shade and increases your convenience while walking, it also soothes your senses and keeps you happy and calm. The moment you start walking with your senses feeling the surrounding, it slows you down and acts as a recreation for you. The hedges along edges of footpaths keep you from getting down on the roads, thereby bringing down the chances of accidents,” said KT Ravindran, urban designer and former chairman of the Delhi Urban Art Commission.Curbing pollution woesThere are umpteen studies that have revealed how greenery along roads and footpaths could help bring down pollution. A latest study by researchers from the University of Surrey has shown that hedges can bring down vehicular pollution by more than 60 per cent.In 2009, the Indian Road Congress (IRC) had laid down certain guidelines and objectives that need to be followed while selecting plants.“The objectives while selecting a plant species — as laid down in the IRC — are to reduce air and dust pollution, arrest soil erosion, mitigate extreme climatic conditions, reduce noise pollution, among others. But these are hardly followed in plantation drives,” RNS Tyagi, former horticulture director of the Central Public Works Department, said.Experts said a mix-and-match of big canopy trees and hedges are ideal for footpaths. It, in fact, make roads more walkable.“Just like we need woods and greenery, we also need open spaces. Both are important for us. And for this, we need a proper plan. We can’t just go on planting trees just for the sake of greenery,” author and conservationist, Pradip Krishen, said.Moving aheadSo how exactly do we go ahead? Experts said that to integrate greenery with roads so that they could become more walkable should be the primary objective among planners right from the initial stages.“A major criterion while making a city or its roads walkable is to see that the walkbale streets do not end abruptly. They should have some continuity and end in open spaces such as a park,” said Ravindran.Planners also said the more interactive a footpath -- with lots of greenery instead of a mundane looking road with ‘dead’ walls — the more it will increase walkability.“If the road has spaces with greenery, shops and eateries, which a pedestrian can see, walkabilty increases. A dull road with walls blocking your sight reduces the walkability quotient,” Ravindran maintained.But just planting trees and hedges won’t help. Experts said that in an attempt to make roads and footpaths more walkable, greenery should be maintained round the year. Unless maintained, these green stretches could become shady dark places and become unsafe.“Whenever we think of widening a road or coming up with an infrastructure project, the first thing we see is that trees are chopped off. Sometimes, when footpaths are retrofitted, the bases of trees are all concretised despite a National Green Tribunal (NGT) ruling against such practices. Residents should be involved so that greeneries could be maintained more efficiently,” said Kanchi Kohli, legal researcher at Centre for Policy Research.",0
265,"Groom treks for over 6kms in heavy snow to reach his wedding ceremony in UttarakhandSpeaking on whether the journey was a difficult for the family, the groom’s brother said, “If you see the pictures then you would question whether they were even feeling cold, forget difficulty. My eight-year-old son played with snow throughout the way.”Groom along with his family treks to Makku Math in Rudraprayag district for his wedding ceremony after roads were blocked due to heavy snow. (HT Photo)A wedding ceremony with only 25 people is rare in Uttarakhand, but one such wedding took place on Friday at Makku Math in Rudraprayag after the groom along with his relatives walked for over 6km in heavy snow to attend the ceremony.Around 80 people had left for from Triyuginarayan village in the district to attend Rajnish Kurmachali’s wedding ceremony at Makku Math, but were stuck in traffic after vehicular roads were closed due to snow. The family then decided to send only those people who were needed for the rituals such as the groom’s maternal uncle, sisters and some elderly people. The dolled up family undertook a 6km long unique marriage procession, with children playing in the snow to reach their destination.“We had seen a wedding procession like this in 2002 and now this was the next one. People will talk about this procession and the wedding for years as in both the weddings the groom was an army jawan,” said Ashish Gairola, the groom’s brother.Speaking on whether the journey was difficult for the family, Gairola said, “If you see the pictures then you would question whether they were even feeling cold, forget difficulty. My eight-year-old son played with snow throughout the way.”Since the last seven days, the village has not received power supply, making it difficult for them to carry out daily chores. The groom’s brother added that people have been charging their phone batteries through their cars due to power outage.Bijay Lal, head of Triyuginarayan village said, “Even I had to go to the wedding but were all stuck due to the snow. But those who went enjoyed the whole journey and the wedding took place without any problem.”Mangesh Ghildilyal, district magistrate of Rudraprayag said, ""We received information about this wedding where people had to walk all the way. It is good that they walked, as due to continuous snowfall, there are high chances of accident as cars can skid."" He added that machines have been deployed to clear the snow in the village but due to incessant snowfall the roads are still blocked.",0
266,"Guddan Tumse Na Ho Payega actor Nishant Malkani says shooting a film is much easier than a TV showActor Nishant Malkani plays Guddan’s husband on the TV show Guddan Tumse Na Ho Payega. In an exclusive interview with HT, Nishant threw light on what makes the show stand out from others, why it’s tough to work in the television industry and more.Actor Nishant Malkani is 31 and portrays the role of a father to three grown up men on TV show Guddan Tumse Na Ho Payega. With no grey hair in sight, the actor is seen as the husband of 20-year-old Guddan who owns the title of India’s youngest mother-in-law. In an exclusive interview with HT, Nishant threw light on what makes the show stand out from others, why it’s tough to work in the television industry and more. Excerpts:Tell us more about the show Guddan Tumse Na Ho Payega.The story is about a man and a woman who meet accidently and go on to tie the knot. Both of them are poles apart. While the woman is around 20 years old, the man is in his mid-thirties. The woman is very innocent and even though she has good intentions, she ends up screwing everything. On the other hand, this man is very mature but is still in love with his first wife. They get married accidently due to unexpected circumstances. This man is the adopted son of the family and ends up being a father to three sons and a father-in-law to their wives. So when he marries Guddan, she ends up becoming their mother-in-law as well (as told in the show’s tagline – Guddan India ki youngest saas hain).You play a father to three grown up men in the show. Were you not apprehensive about playing such a role?Initially, I was apprehensive but the makers convinced me about the theme of the show. They were not going to give me grey hair or make me look older. They told me how a lot of twists and turns were going to come in the story and that I was not their real father. What’s interesting about this character was that while he is an angry young man in front of everyone, he was a very chilled out and loud person in the company of his former wife. This is a man who will show his anger even when he is in a romantic mood.Taking a time leap is a common trend on Indian TV shows. If the makers take a time leap of 20 years, will you be ready to play a 50-60 year old on screen?I will be apprehensive but it completely depends on why and how they will justify the time leap. If I find it interesting, I will do it and if I won’t, I will step back.How do you bond with your team?We have a very good team, all of us are very good friends. We have a house party at one of the people’s houses on an off day. We bond like college friends when not working.You have also done a few films.My last film was Bezubaan Ishq in 2016. I do have plans to do films but I am committed for 25 days in a month for this show. As long as I am shooting for this one, I won’t be able to take out time for other things. But after that, I will pick up whatever interesting comes my way. It can be anything – a film, a web series or another TV show. Right now, all three platforms are doing so well that as an actor, there is a lot of scope for anyone to grow.What is the major difference between the television industry and Bollywood?In films, you have a bound script, you know the entire graph of the character and his journey from end to finish. In a television show, everything changes every week. The TRPs decide what works and what doesn’t work and what we are going to do with the story. If the character is not working, we change the character, if not the actor. As an actor, one has to be very flexible to adapt all the time. If the show goes on for a year, you have to come on the screen everyday but yet do something different to keep the audience hooked. I believe shooting a film is much easier than a TV show.",0
267,"Gulmarg’s silky slopes a hit among tourists from India and abroadThe good start to the tourist season of 2019 iin Gulmarg comes after the industry took a downturn in 2018, a year which witnessed military offensive.A couple enjoys snow-biking in Gulmarg. It took frequent spells of snow in January this year to bring large number of foreign tourists to Kashmir amid militancy.(HT?Photo )Located in the Pir Panjal Range in the western Himalayas, virgin peaks, dry curry powder snow and snow meadows define the cup-shaped valley Gulmarg in Baramulla district of Jammu and Kashmir. After a slump in tourism due to the killing of Hizbul Mujahideen commander Burhan Wani in July 2016, it took frequent spells of snow in January this year to bring large number of foreign tourists to Kashmir amid militancy.The good start to the tourist season of 2019 comes after the industry took a downturn in 2018, a year which witnessed military offensive. Over 8.5 lakh tourists including 50,000 foreigners visited the Valley in 2018 as compared to 11 lakh in 2017. Tourism director Nisar Wani said ,“We received 25,095 tourists across Kashmir in January this year, including 2,480 foreigners,” Wani said.The arrival of foreign tourists has seen a surge. The figure was 1,405 in 2016, 1,170 in 2017, 2,369 in 2018 and 2,480 in 2019. Domestic tourists in January 2018 were 49,000. Wani said domestic arrival was affected as national highway closed due to snowfall for 12 days in January. “The highway closure also increased the price of air tickets exponentially. However, we continue to see more tourists. On February 3, 2019, we saw the highest daily arrival of 1,400,” he added.A chance discovery for someTourists enjoy skiing and heli-skiing on the slopes of Gulmarg.Rob, 32, an Australian did not know that there was a place Gulmarg in India. He said he came to know about the ski resort by accident on internet as it was snowing in the area. “I was stunned when I reached here on January 22,” he said. Rob has decided to stay here for a month and do what he likes the most – snowboarding.“I first visited Manali and then stumbled upon this place. I am happy that I did. The experience here has been beyond my imagination. This is the best place for skiing and snowboarding,” said Rob.Rob, an Australian, loves snowboarding and said he discovered about Gulmarg by accident on Internet. (HT?Photo )An Australian couple Tim Robertson and Kate Hamilton, ardent snowboarders, got married at St Mary’s Church in Gulmarg on January 31 – which was the first wedding in over three decades at the Kashmir’s oldest Protestant church.The meadow’s gondola, one of Asia’s largest and highest cable car ringed by pine forests and snow-capped Himalayan mountain peaks, takes skiers and snowboarders to a height of 3,900 to 4,100 metres (13,500 ft) to Apharwat Mountain.Akshat Gupta, 29, from Gujarat was equally amazed and wanted people to stop watching negative news about the place. “It took me seven years to convince myself to come here. You will find news of blasts and firing on news channels but here we are enjoying peacefully,” said Gupta.Tourists enjoy in snow at Gulmarg, Jammu & Kashmir, February 04, 2019. (HT?Photo )Good business for hoteliersThe tourist arrival has meant good business for hoteliers.Manager of Zum Zum hotel in Gulmarg, Shamsuddin Rather, said the inflow of tourists started with Christmas which continued owing to snowfall.“This year has been the best winter since 2016. Our occupancy is around 70% and bookings are still continuing. Its sustainability will depend on the political situation,” Rather added.Aijaz Ahmad, who gives sledge rides to tourists on snow, said he has done good work this year so far.Tourists arrival in Gulmarg has meant good business for local hoteliers. (HT?Photo )Hotelier and executive member of Kashmir Chamber of Commerce and Industries (KCCI) Faiz Bakshi said tourist inflow was good with the start of new year.“The road closure did a lot of damage which was aggravated by high air fares. Many tourists were stuck on the highway for four to five days. The governor also made a similar observation before the Prime Minister on Sunday,” Bakshi said.",0
268,"Haryana Open School Admit Card out, download at bseh.org.inBoard of School Education, Haryana (BSEH) has released admit card for Haryana Open School Class 10 and Class 12 exams.Board of School Education, Haryana (BSEH) has released admit card for Haryana Open School Class 10 and Class 12 exams. Students who are appearing in the exam can get their Haryana Open School admit card from the official website, bseh.org.in.The admit card has been released for both fresh and re-appearing Open students. The examination will start on March 7, 2019.BSEH date sheet for secondary,sr secondary(academic/open school regular/re-appear) Examination March 2019Haryana Open School admit card 2019: Steps to download1) Visit the official website, bseh.org.in2) Click on the admit card link in what’s new section on homepage3) Select fresh or re-appear options4) Enter required details5) Submit6)Haryana Open School admit card will be displayed on screen.",0
269,"Have you seen these pics of Deepika Padukone, Ranveer Singh, Aishwarya Rai, Kareena Kapoor and son Taimur?Several celebrities including Aishwarya-Abhishek, Kareena Kapoor, Deepika-Ranveer and Sonchiriya actors Sushant Singh Rajput and Bhumi Pednekar were spotted in Mumbai on Monday.Actor Deepika Padukone and Ranveer Singh have finally settled down after a lavish Italian wedding last year. The couple was recently spotted in Mumbai on their visit to a saloon. While Ranveer was seen making an early exit, Deepika took her time and was spotted leaving the place later. The two were also twinning in black and white casuals. Ranveer is currently training for his next film titled ’83 based on India’s iconic win at the 1983 cricket World Cup at Lord’s. Deepika has also begun work on her debut production Chhapaak where she will be seen playing an acid attack survivor.Kareena Kapoor was spotted during her usual gym sessions. She too was dressed in a white tee and black jeggings. She is currently shooting for her film Good News with Akshay Kumar. Her two-year-old son Taimur was also spotted outside his residence post his daily outings.Several Bollywood celebrities flew to Switzerland to attend Akash Ambani’s pre-wedding party. Aishwarya Rai, dressed in a sky blue kurta-salwar was spotted with husband Abhishek Bachchan, at the airport.The team of Sonchiriya including Sushant Singh Rajput and Bhumi Pednekar visited the sets of dance reality show Super Dancer chapter 3 to promote the film. While Bhumi looked stunning in a golden dressed topped with a matching shrug, show judge Shilpa Shetty was spotted heading towards the sets in an orange costume. The film also stars Ashutosh Rana, Manoj Bajpayee and Ranvir Shorey, and is set to release this Friday.",0
270,"HC questions denial of e-tickets to disabled“Why are the disabled denied the right to book railway tickets on Internet and avail concession when senior citizens can do the same,” questioned the Delhi High Court. The court has issued notices to the Railway Ministry and the Railway Board on what it called, a “serious and sensitive” issue.The notices were issued after a visually challenged Delhi-based consultant Praveen Kumar filed a PIL that raised this question. The last day for the ministry and the board to file its responses is May 18.Kumar’s lawyer Pankaj Sinha, himself visually challenged, submitted before a bench headed by Chief Justice Dipak Misra and Justice Sanjiv Khanna that “the differentiation was uncalled for.”The Railways justified the denial of e-ticketing facility, saying the electronic reservation slip could be misused by general public by making false claims of disability.But the court prima-facie found the argument untenable. Said Justice Khanna, “... those who avail the disability concession can be asked to produce the handicap certificate after boarding the train.”",1
271,"Henkel goes vegan to revive beauty businessGerman consumer goods company Henkel announced new hair care formulations and brands on Thursday, seeking to tap into consumer demand for more natural ingredients as it tries to revive sluggish growth in its beauty business.Henkel will relaunch its European shampoo brand Schauma with a “vegan” formula, roll out to more markets its Nature Box line of hair and body care products made from cold-pressed oils and launch a new “free-from” hair dye line called OnlyLove.It will also launch a premium vegan brand for professional hair salons called Authentic Beauty Concept and expand its Pro Nature range of cleaning products to include detergents.The move comes as shoppers become more wary of processed chemical ingredients and seek out natural alternatives.Chief Executive Hans van Bylen told a news conference the products certified as vegan will initially address a niche market, but he sees strong potential and said the move will eventually help the company adjust all of its formulations.“The increasing shift towards a green lifestyle and the strong increase in the number of vegans has driven the growing demand for plant-derived ingredients in beauty products,” said Magda Starula, analyst at market data firm Euromonitor.The world’s biggest cosmetics manufacturer L’Oreal bought vegan beauty product firm Logocos Naturkosmetik last year and it has launched its own vegan range, Botanea, sourced from plants found in India.Unilever has also launched a fast-growing hair and body brand called Love Beauty and Planet, that is certified as vegan and cruelty-free.Henkel said the Schauma brand’s vegan formula will not contain silicones or parabens, while the Authentic Beauty Concept line will include “pure” ingredients.Henkel, the maker of Schwarzkopf shampoo and Persil detergent, made the announcement after warning in January that earnings would fall this year as it steps up investment in brands and digital technology to try to revive growth.The company has underperformed rivals like Procter & Gamble Co (P&G) and Unilever in recent years, with underlying sales in its beauty care business falling 0.7 percent in 2018 and the laundry unit growing just 1.9 percent.Henkel’s beauty care unit saw organic sales growth recover to 1 percent in the fourth quarter, but it still lagged behind adhesives and laundry, which grew 2.1 percent and 2.8 percent respectively in the period.Van Bylen said Henkel plans a global relaunch of its Persil brand, with new “four-chamber” detergent pods key to reviving growth in North America, where it is battling P&G for market share.",0
272,"High court admits plea against RPF personnelThe Bombay high court on Thursday admitted a public interest litigation (PIL) which sought a probe by Central Bureau of Investigation (CBI) in an alleged scam run by Railway Police Force (RPF) of booking petty offenders in railway offences and then releasing them on fake bail bonds.Observing that prima facie offence was made out against RPF personnel, a division bench of justice BH Marlapalle and justice UD Salvi admitted the petition.The court has also issued notices to the Ministry of Railway and Ministry of Home, Government of India, asking them to file affidavit explaining their stand towards investigation against RPF officials.Public prosecutor Pandurang Pol submitted an affidavit filed by commissioner of police, Railways, which said that their “investigation revealed that offence was committed by RPF personnel on duty Thane Kurla in 2008-09 by using fake bail bonds and false documents and misappropriating the money collected from commuters after charging them with relevant sections under the Railways Act”.Pol also told the court that a special investigation team was formed to probe the alleged scam.The petition was filed by social activist Samir Zaveri alleging a scam relating to cash bonds issued by the RPF personnel at Kurla railway station in 2008-09.It claimed that certain RPF personnel were releasing persons booked for trespassing on fake cash bail bonds. They then asked the commuters to pay Rs 500 bail bonds each in fake courts staged by them. Track trespassing is an offence under section 147 of the Indian Railway Act. A head constable acted as a Magistrate and granted bail to so-called offenders and the money collected was misappropriated by some RPF personnel, the PIL alleged.",1
273,"How an illiterate rickshaw-puller became a mascot for educationAhmed Ali from Assam’s Karimganj district, while pulling his cycle rickshaw one day in the late 1970s, felt miserable at the realization that like him his soon-to-be-born child too will remain illiterate.Ahmed Ali from Assam’s Karimganj district, while pulling his cycle rickshaw one day in the late 1970s, felt miserable at the realization that like him his soon-to-be-born child too will remain illiterate and may have to pull a rickshaw for a living.Hailing from Madhurband village, when Ali, now 82, moved to Karimganj town, about 300 km from Guwahati, he often saw children attending school and getting educated, and sometimes even ferried them to and from their homes to their schools in his rickshaw.The thought of his child not getting proper education hit him so hard that he decided he should do something about it so that poor children of the coming generation, including his own, do not suffer in privation like him.Since then, Ali has gone on to build nine schools and, because of his singular effort, he even found a mention in Prime Minister Narendra Modi’s ‘Mann Ki Baat’ radio programme.“I feel it was Allah’s wish and blessings from locals that I could achieve whatever I wanted,” says a humble Ali.“I could not attend school due to poverty. People of my village were poor and it pained me to see the children there were not able to attend schools due to the same reason. I don’t want to see dropouts from poor families any more,” Ali told IANS during a function in Delhi where he was invited as a guest.For establishing the first school, he sold a portion of his land and donated another portion on which the building now stands. The funds for the schools were also arranged by him from his savings, daily earnings and some from charity.“There were some people in the area who supported the cause and helped in whatever way they could,” he said.To ensure there was no fund crisis for the school, he used to pull his rickshaw in the morning and cut wood at night. He sold that wood and used the money to build the school and later to run it.“There was not even a single school in the area. I had this very strong feeling that when my children will be born, they too will not have any school. After the birth of my first child (a boy), the feeling became more strong,” he said.The school, he added, was even more important for girls as “boys get a chance to go out and get an education, but girls do not”.With a firm resolve that he should do something about it, Ali met an education officer, whom he used to ferry in his rickshaw, and with his help, he established a middle school in his village in 1978.“Soon after it was established, I realised that first, we needed a primary school. Until children were educated at the primary level, who will get enrolled in middle school? In 1980, three-LP (Lower Primary) schools were opened,” he said.In all, Ali has opened three lower primary (class I-V) schools, five middle (class VI-VIII) schools and one high school in Madhurband and nearby villages.“Education is an important thing, and everyone should get a chance to get educated. It is a sin for anybody to not be educated,” he said.“Although I may be illiterate, I get respect from people. They now come to seek my blessings. I feel joy when I see that boys and girls from the village have been attending school. This joy inspired me and I never felt tired,” said Ali.“I get satisfaction when girls come and tell me how helpful these schools were for them. Every year, the overall number of girls in schools is higher than boys.”The high school, started in 1990, has 228 students in the current year. Every year, hundreds of students appear for the Class X exams, but they don’t have a place to study further.“I could only manage to make arrangements for students till Class X. They don’t have a place to study Class XI and XII. I need both the government’s approval and funds for setting up the higher-secondary school,” Ali said, in the hope that he will soon accomplish that as well.“There is no nearby college. The nearest college is also 15 km away. I also want to build a college for students, but that will come at a later stage. First we need a junior college (for students passing Class X),” he added.Ali came to limelight in March last year when Prime Minister Modi spoke about him in his monthly “Mann Ki Baat” address.Ali feels proud that the Prime Minister acknowledged his work and he desires to meet Modi.Asked what he will tell Modi, Ali said he wanted all that the schools should be government-recognised so that funds were never an issue. “I will also ask him for a junior college and a college, if possible.”",0
